Location,Postcode,City
Kampung Batu 5,31400,Ipoh
Kampung Bercham,31400,Ipoh
Kampung Cina,31400,Ipoh
Kampung Gunung Genting,31400,Ipoh
Kampung Gunung Mat Sirat,31400,Ipoh
Kampung Kepayang,31400,Ipoh
Kampung Kurnia (Kg S.C),31400,Ipoh
Kampung Masjid,31400,Ipoh
Kampung Masjid Tambun,31400,Ipoh
Kampung Melayu (Bercham),31400,Ipoh
Kampung Simee,31400,Ipoh
Kampung Tasek,31400,Ipoh
Kampung Tersusun Bercam 1 & 2,31400,Ipoh
Kampung Tersusun Bercham,31400,Ipoh
Kampung Tersusun Cina,31400,Ipoh
Kampung Tersusun Tasek,31400,Ipoh
Kawasan Industri Pinggir Bercam,31400,Ipoh
Kawasan Kilang Tasek,31400,Ipoh
Kawasan Perdagangan & Perindustrian,31400,Ipoh
Kawasan Perusahaan Bercam,31400,Ipoh
Kepayang Fair Park,31400,Ipoh
Kepayang Tengah,31400,Ipoh
Laluan Canning,31400,Ipoh
Leboh Woods,31400,Ipoh
Lebuh  Dato Khoong Kam Tak,31400,Ipoh
Lebuh Cecil Rae,31400,Ipoh
Lebuh Sungai Senam,31400,Ipoh
Lebuhraya Fair Park,31400,Ipoh
Lebuhraya Pearl,31400,Ipoh
Lebuhraya Taman Ipoh,31400,Ipoh
Lengkok Canning,31400,Ipoh
Lengkok Harimau,31400,Ipoh
Lengkuk Tasek,31400,Ipoh
Lindungan Bercham Indah,31400,Ipoh
Lorong Cecil Rae,31400,Ipoh
Lorong Harimau,31400,Ipoh
Lorong Jeyce,31400,Ipoh
Mahkota Wira Condo,31400,Ipoh
Medan Tambun,31400,Ipoh
Metro Ipoh Baru,31400,Ipoh
Pearl Garden,31400,Ipoh
Perindustrian Ringan Bercam,31400,Ipoh
Persiaran Cecil Rae,31400,Ipoh
Persiaran Dato Dr Moreira,31400,Ipoh
Persiaran Harimau,31400,Ipoh
Persiaran Sungai Senam,31400,Ipoh
Persiaran Wood,31400,Ipoh
Taman Seri Gaya,31400,Ipoh
Taman Seri Kurau,31400,Ipoh
Taman Seri Tasek,31400,Ipoh
Taman Shukor,31400,Ipoh
Taman Sri Bercham,31400,Ipoh
Taman Sri Kurau,31400,Ipoh
Taman Sri Tambun,31400,Ipoh
Taman Sri Tasek,31400,Ipoh
Taman Star,31400,Ipoh
Taman Sunrise,31400,Ipoh
Taman Syabas,31400,Ipoh
Taman Syukur (Bercham Selatan),31400,Ipoh
Taman Tambun,31400,Ipoh
Taman Tambun Jaya,31400,Ipoh
Taman Tambun Permai,31400,Ipoh
Taman Tasek Berlian,31400,Ipoh
Taman Tasek Dermawan,31400,Ipoh
Taman Tasek Indra,31400,Ipoh
Taman Tasek Jaya,31400,Ipoh
Taman Tasik,31400,Ipoh
Taman Teh Teng Seng,31400,Ipoh
Taman Utama,31400,Ipoh
Taman Villa,31400,Ipoh
Taman Wah Keong,31400,Ipoh
Taman Wah Kheong,31400,Ipoh
Taman Westpool,31400,Ipoh
Tambun,31400,Ipoh
Tambun Height,31400,Ipoh
Tasek Mutiara,31400,Ipoh
Tingkat Ipoh,31400,Ipoh
Tingkat Taman Ipoh,31400,Ipoh
Villa Medan Desa Perpaduan,31400,Ipoh
Wolly Amusement Centre,31400,Ipoh
Zon Perindustrian Tasek,31400,Ipoh
Anika Selera Centre,31400,Ipoh
Anjung Bercham Baru,31400,Ipoh
Bandar Baru Medan Ipoh,31400,Ipoh
Bandar Baru Putra,31400,Ipoh
Bandar Baru Tambun,31400,Ipoh
Bandar Baru Tasek,31400,Ipoh
Bercham,31400,Ipoh
Bercham Idaman,31400,Ipoh
Bercham Indah,31400,Ipoh
Bercham Villa,31400,Ipoh
Club Condo,31400,Ipoh
Dataran Perajurit 11,31400,Ipoh
"Dataran Perajurit 6, 6A",31400,Ipoh
Desa Putra Indah,31400,Ipoh
Desa Tambun  Baru,31400,Ipoh
Desa Tasek Bakti,31400,Ipoh
Flat Canning Swiss,31400,Ipoh
Flat Pakatan,31400,Ipoh
Flat Taman Mewah,31400,Ipoh
Hala Stadium,31400,Ipoh
Intan Business Centre,31400,Ipoh
Ipoh Impian 1 - 3,31400,Ipoh
Jalan Abdullah Liew,31400,Ipoh
Jalan Aiken,31400,Ipoh
Jalan Ampang,31400,Ipoh
Jalan Bercham,31400,Ipoh
Jalan Besar Tambun,31400,Ipoh
Jalan Bung Melor,31400,Ipoh
Jalan Bung Telor,31400,Ipoh
Jalan Bunga Tanjung,31400,Ipoh
Jalan Canning,31400,Ipoh
Jalan Cantek,31400,Ipoh
Jalan Carlos,31400,Ipoh
Jalan Cetak,31400,Ipoh
Jalan Chan Chee Keong,31400,Ipoh
Jalan Chan Swee Ho,31400,Ipoh
Jalan Chew Peng Loon,31400,Ipoh
Jalan Chin Yin Fatt,31400,Ipoh
Jalan Choon Han,31400,Ipoh
Jalan Chow kai,31400,Ipoh
Jalan Chye Kah Loke,31400,Ipoh
Jalan Dairy,31400,Ipoh
Jalan Dato Khoong Kam Tak,31400,Ipoh
Taman Ipoh - Peti Surat  1 & ke atas,31407,Ipoh
Bukit Kledang Indah,31450,Ipoh
Bukit Kledang Utama,31450,Ipoh
Hala Persiaran Menglembu 13,31450,Ipoh
Hala Perusahaan Menglembu,31450,Ipoh
Jalan Impiana Adril - Taman Impiana Adril,31450,Ipoh
Jalan Kledang Timur - Taman Bandar Baru,31450,Ipoh
Jalan Menglembu Timur,31450,Ipoh
Kampung Cina,31450,Ipoh
Kampung Keling,31450,Ipoh
Kuala Pari,31450,Ipoh
Kuala Pari Tambahan,31450,Ipoh
Laluan Bukit Merah - Taman Bukit Merah,31450,Ipoh
Laluan Mengelembu - Taman Merlian,31450,Ipoh
Lebuh Arkid,31450,Ipoh
Menglembu,31450,Ipoh
Menglembu Industrial Park,31450,Ipoh
Menglembu Regrouping Area,31450,Ipoh
Regrouping Area,31450,Ipoh
Taman Arkid,31450,Ipoh
Taman Chandan Raya,31450,Ipoh
Taman Gamelan,31450,Ipoh
Taman Hong Kong,31450,Ipoh
Taman Intan,31450,Ipoh
Taman Kamay,31450,Ipoh
Taman Keledang,31450,Ipoh
Taman Keledang Sentosa,31450,Ipoh
Taman Menglembu,31450,Ipoh
Taman Menglembu Impian Adril,31450,Ipoh
Taman Raja Izzuddin,31450,Ipoh
Taman Rasi,31450,Ipoh
Taman Rasi Jaya,31450,Ipoh
Taman Sepakat,31450,Ipoh
Taman Wang,31450,Ipoh
Jalan Lahat Indah (1 - 14),31500,Ipoh
Jalan Lahat Sri Wang,31500,Ipoh
Taman Gerbang Johan Damai,31500,Ipoh
Taman Gerbang Johan Delima,31500,Ipoh
Desa Lahat Sri Wang,31500,Ipoh
Persiaran Selatan 23,31500,Ipoh
RPT Pengkalan Pegoh,31500,Ipoh
RPT Pengkalan Pegoh Seberang,31500,Ipoh
Taman Badri Shah,31500,Ipoh
Taman Berkat,31500,Ipoh
Taman Desa Aman,31500,Ipoh
Taman Desa Pelancongan,31500,Ipoh
Taman Desa Pelancongan 11,31500,Ipoh
Taman Desa Pengkalan Bandaraya,31500,Ipoh
Taman Desa Pengkalan Indah,31500,Ipoh
Taman Desa Pengkalan Maya,31500,Ipoh
Taman Lahat Baru,31500,Ipoh
Taman Pegoh,31500,Ipoh
Taman Pengkalan Bidadari,31500,Ipoh
Taman Pengkalan Damai,31500,Ipoh
Taman Pengkalan Maamur,31500,Ipoh
Taman Pengkalan Perdana,31500,Ipoh
Taman Pengkalan Wawasan,31500,Ipoh
Taman Pinji,31500,Ipoh
Taman Pinji Mewah,31500,Ipoh
Taman Pinji Perdana,31500,Ipoh
Taman Pinji Ria,31500,Ipoh
Taman Sri Megah,31500,Ipoh
Yours International Lot 74269 - Jalan Simpang Pulai,31500,Ipoh
Bandar Pengkalan Indah,31500,Ipoh
Dataran Lahat 1,31500,Ipoh
Dataran Lahat 2,31500,Ipoh
Dataran Lahat 3,31500,Ipoh
Dataran Lahat 4,31500,Ipoh
Dataran Lahat 5,31500,Ipoh
Jalan Pinji Selatan,31500,Ipoh
Kampung Baru Bukit Merah,31500,Ipoh
Kampung Changkat Larang,31500,Ipoh
Kampung Meranti Lapan,31500,Ipoh
Kampung Pasar Minggu,31500,Ipoh
Kampung Pasir,31500,Ipoh
Kampung Seri Rahmat,31500,Ipoh
Kampung Simpanan Melayu,31500,Ipoh
Kampung Tersusun Pengkalan Stes,31500,Ipoh
Kawasan Perindustrian Jalan Pengkalan,31500,Ipoh
Kilang Jalan Pusing,31500,Ipoh
Kilang Perabot Rotan,31500,Ipoh
Kilang Rima Industri,31500,Ipoh
Lahat,31500,Ipoh
Medan Lahat Baru,31500,Ipoh
Medan Pengkalan Impian,31500,Ipoh
Pengkalan Gate,31500,Ipoh
Pengkalan Jalan Pusing,31500,Ipoh
Pengkalan Pegoh,31500,Ipoh
Pengkalan Prima,31500,Ipoh
Pengkalan Station,31500,Ipoh
Pengkalan Tin Ltd,31500,Ipoh
Persiaran Selatan 16,31500,Ipoh
Persiaran Selatan 19,31500,Ipoh
Persiaran Selatan 21,31500,Ipoh
Bandar Sri Pengkalan,31550,Pusing
Batu Gajah Perdana,31550,Pusing
Gunung Hijau,31550,Pusing
Jalan Belakang Sekolah Gunung Hijau,31550,Pusing
Jalan Keretapi Lama,31550,Pusing
Jalan Lahat,31550,Pusing
Jalan Siputeh,31550,Pusing
Jalan Tongkak / Panchor,31550,Pusing
Kaca Jalan Lahat,31550,Pusing
Kampung Baru,31550,Pusing
Kampung Baru A,31550,Pusing
Kampung Baru Papan Lama,31550,Pusing
Kampung Changkat,31550,Pusing
Kampung Datok Papan Lama,31550,Pusing
Kampung Gunung Hijau (E - F),31550,Pusing
Kampung Gunung Hijau Estate,31550,Pusing
Kampung Haji Rahman,31550,Pusing
Kampung Papan Baru,31550,Pusing
Kampung Peti Baru,31550,Pusing
Kampung Piandang Baru,31550,Pusing
Kampung Piandang Lama,31550,Pusing
Kampung Pinang (A & B),31550,Pusing
Papan Baru,31550,Pusing
Pusing,31550,Pusing
Siputeh,31550,Pusing
Siputeh (Km 5),31550,Pusing
Taman Mewah Pusing,31550,Pusing
Taman Puncak Pusing Indah,31550,Pusing
Taman Pusing,31550,Pusing
Taman Pusing Baru,31550,Pusing
Taman Pusing Mutiara,31550,Pusing
Taman Puspa,31550,Pusing
Taman Ria,31550,Pusing
Taman Saujana Pusing,31550,Pusing
Kampung Piandang,31560,Pusing
Kampung Siputeh,31560,Pusing
Tasik Perdana,31560,Pusing
Changkat Legong,31610,Gopeng
Jalan Datok Setia,31610,Gopeng
Jalan Gopeng,31610,Gopeng
Jalan Panggong,31610,Gopeng
Kampung Changkat Legong,31610,Gopeng
Kampung Changkat Tualang,31610,Gopeng
Kampung Kota,31610,Gopeng
Kampung Kota Baharu,31610,Gopeng
Kampung Lalang,31610,Gopeng
Kampung Redang Sawa,31610,Gopeng
PLKN Kem Gemilang,31610,Gopeng
Desa Lawan Kuda,31600,Gopeng
Gopeng,31600,Gopeng
Gopeng Industrial Park,31600,Gopeng
Gunung Mesah Hilir,31600,Gopeng
Jalan Berwick,31600,Gopeng
Kampung Batu 1 Jalan Kota Bahru,31600,Gopeng
Kampung Batu 3,31600,Gopeng
Kampung Cholek,31600,Gopeng
Kampung Dusun Seribu,31600,Gopeng
Kampung Gunung Mesah Hilir,31600,Gopeng
Kampung Gunung Mesah Hulu,31600,Gopeng
Kampung Gunung Panjang,31600,Gopeng
Kampung Jahang,31600,Gopeng
Kampung Jelintoh Baru,31600,Gopeng
Kampung Lawan Kuda,31600,Gopeng
Kampung Pintu Padang,31600,Gopeng
Kampung Pulai,31600,Gopeng
Kampung Rawa,31600,Gopeng
Kampung Rawa Baru,31600,Gopeng
Kampung Rawa Lama,31600,Gopeng
Kampung Sanggili,31600,Gopeng
Kampung Sungai Itek,31600,Gopeng
Kampung Tersusun Batu 5 (Kota Bharu),31600,Gopeng
Kampung Tersusun Jelintoh,31600,Gopeng
Kampung Tersusun Kampung Pulai,31600,Gopeng
Kampung Tersusun Kopisan Baru,31600,Gopeng
Kampung Tersusun Kopisan Tambahan 2,31600,Gopeng
Kampung Tersusun Kota Bharu,31600,Gopeng
Kampung Tersusun Lawan Kuda,31600,Gopeng
Kampung Tersusun Rawa Baru,31600,Gopeng
Kolej Matrikulasi Gopeng,31600,Gopeng
Kopisan Baru,31600,Gopeng
Kota Baharu,31600,Gopeng
Kota Bahru,31600,Gopeng
Lawan Kuda,31600,Gopeng
Lawan Kuda Baru,31600,Gopeng
Rumah Murah 1,31600,Gopeng
Rumah Murah 2,31600,Gopeng
Rumah Murah 3 Kampung Lawan Kuda,31600,Gopeng
Sekolah Berasrama Penuh Intergrasi,31600,Gopeng
Sungai Itek,31600,Gopeng
Taman Changkat Golf,31600,Gopeng
Taman Gopeng,31600,Gopeng
Taman Gopeng Baru,31600,Gopeng
Taman Gopeng Indah,31600,Gopeng
Taman Gopeng Jaya,31600,Gopeng
Taman Gopeng Setia,31600,Gopeng
Taman Indah Jaya,31600,Gopeng
Taman Kinta,31600,Gopeng
Taman Kinta 2,31600,Gopeng
Taman Kinta Baru,31600,Gopeng
Taman Lawan Kuda,31600,Gopeng
Lintasan Bendahara,31650,Ipoh
Lorong Chong Ah Meng,31650,Ipoh
Medan Pasir Indah,31650,Ipoh
Medan Pasir Ria,31650,Ipoh
Medan Pasir Saujana,31650,Ipoh
Medan Pasir Suria,31650,Ipoh
Medan Pengkalan Saujana,31650,Ipoh
Medan Stesen (19/4 - 19/9),31650,Ipoh
New Pasir Puteh,31650,Ipoh
Pasir Pinji,31650,Ipoh
Pasir Puteh,31650,Ipoh
Persara Bendahara,31650,Ipoh
Persiaran Bendahara,31650,Ipoh
Persiaran Tebing Tinggi,31650,Ipoh
Persiaran Tokong,31650,Ipoh
Pinggir Pengkalan Permai,31650,Ipoh
Regat Bendahara,31650,Ipoh
Regat Dato Mahmud,31650,Ipoh
Regat Dr Seenivagam,31650,Ipoh
Regat Margosa,31650,Ipoh
Selasar Bendahara,31650,Ipoh
Seri Kinta,31650,Ipoh
Solok Pasir Putih,31650,Ipoh
Sunlight Park,31650,Ipoh
Taman Berangan,31650,Ipoh
Taman Bersatu (Jalan Pasir Puteh),31650,Ipoh
Taman Boon Bak,31650,Ipoh
Taman Bunga Raya,31650,Ipoh
Taman Camay,31650,Ipoh
Taman Chin Loy,31650,Ipoh
Taman Desa Pakatan,31650,Ipoh
Taman Evergreen,31650,Ipoh
Taman Gembira,31650,Ipoh
Taman Gerbang Indah,31650,Ipoh
Taman Happy,31650,Ipoh
Taman Ho Lok,31650,Ipoh
Taman Hock Bee,31650,Ipoh
Taman Hoover,31650,Ipoh
Taman Intan,31650,Ipoh
Taman Jade,31650,Ipoh
Taman Kar King,31650,Ipoh
Taman Lapangan Panorama Perdana,31650,Ipoh
Taman Lapangan Ria,31650,Ipoh
Taman Lapangan Sentosa,31650,Ipoh
Taman Lee,31650,Ipoh
Taman Mahajaya,31650,Ipoh
Taman Mandarin,31650,Ipoh
Taman Mayfair,31650,Ipoh
Taman Megah,31650,Ipoh
Taman Megah Pasir Putih,31650,Ipoh
Taman Meikin,31650,Ipoh
Taman Melor,31650,Ipoh
Taman Merlin,31650,Ipoh
Taman Merry,31650,Ipoh
Taman New Happy,31650,Ipoh
Taman Onn,31650,Ipoh
Taman Pasir Delima 1 - 3,31650,Ipoh
Taman Pasir Puteh Selatan,31650,Ipoh
Taman Pengkalan Barat,31650,Ipoh
Taman Pengkalan Baru,31650,Ipoh
Taman Pengkalan Intan,31650,Ipoh
Taman Pengkalan Jaya,31650,Ipoh
Taman Pinji,31650,Ipoh
Taman Pinji Indah,31650,Ipoh
Taman Puteri Lindungan Bintang,31650,Ipoh
Taman Puteri Lindungan Bulan,31650,Ipoh
Taman Rasa Sayang,31650,Ipoh
Taman Rose,31650,Ipoh
Taman Sentosa,31650,Ipoh
Taman Seri Pengkalan,31650,Ipoh
Taman Seri Sayang,31650,Ipoh
Taman Shatin Baru,31650,Ipoh
Taman Shatin Satu,31650,Ipoh
Taman Sinfar,31650,Ipoh
Taman SPPK,31650,Ipoh
Taman Sri Perkasa,31650,Ipoh
Taman Tai Lee,31650,Ipoh
Taman Taiping,31650,Ipoh
Taman Temara,31650,Ipoh
Taman Temiang Impian,31650,Ipoh
Taman Watchoo,31650,Ipoh
Taman Yik Sang,31650,Ipoh
Tebing Tinggi,31650,Ipoh
Temiang Baru,31650,Ipoh
Temiang Lama,31650,Ipoh
Tingkat Bendahara,31650,Ipoh
Dataran Pengkalan Barat,31650,Ipoh
Hala Bendahara,31650,Ipoh
Hala Pinji 1,31650,Ipoh
Jalan Baru,31650,Ipoh
Jalan Bendahara,31650,Ipoh
Jalan Berangan,31650,Ipoh
Jalan Bunga Raya,31650,Ipoh
Jalan Che Putih,31650,Ipoh
Jalan Chew Sin Onn,31650,Ipoh
Jalan Chong Ah Meng,31650,Ipoh
Jalan Chung Ah Ming,31650,Ipoh
Jalan Dato Mahmud,31650,Ipoh
Jalan Dr Seenivagam,31650,Ipoh
Jalan Foo Aun Choon,31650,Ipoh
Jalan Foo Eng Lin,31650,Ipoh
Jalan Ho Lork Park,31650,Ipoh
Jalan Hoover,31650,Ipoh
Jalan Keng Wah,31650,Ipoh
Jalan King,31650,Ipoh
Jalan Kuan Woh Yuen,31650,Ipoh
Jalan Kukup Limbang,31650,Ipoh
Jalan Lee Swee Hoe,31650,Ipoh
Jalan Leong Tian,31650,Ipoh
Jalan Lim Tee Ee,31650,Ipoh
Jalan Low Foo,31650,Ipoh
Jalan Margosa,31650,Ipoh
Jalan Merlin,31650,Ipoh
Jalan New Pasir Puteh,31650,Ipoh
Jalan Ong Chin Seong,31650,Ipoh
Jalan Pasir Merah,31650,Ipoh
Jalan Pasir Pinji,31650,Ipoh
Jalan Pasir Puteh,31650,Ipoh
Jalan Pee Kee Koh,31650,Ipoh
Jalan Pegoh,31650,Ipoh
Jalan Pegoh 1,31650,Ipoh
Jalan President Kennedy,31650,Ipoh
Jalan Prince,31650,Ipoh
Jalan Queen,31650,Ipoh
Jalan Raja Di Hilir,31650,Ipoh
Jalan Raja Muda,31650,Ipoh
Jalan Sekolah,31650,Ipoh
Jalan Shah Bandar,31650,Ipoh
Jalan Sri Adika,31650,Ipoh
Jalan Sultan,31650,Ipoh
Jalan Sultan Azlan Shah 106,31650,Ipoh
Jalan Syed Abu Hassan,31650,Ipoh
Jalan Tai Wai Tong,31650,Ipoh
Jalan Temenggong,31650,Ipoh
Jalan Tokong,31650,Ipoh
Jalan Walker,31650,Ipoh
Jalan Wong Chin Tong,31650,Ipoh
Kampung Baru Tebing Tinggi,31650,Ipoh
Kampung Cempaka Sari,31650,Ipoh
Kampung Chempaka Seri Kinta,31650,Ipoh
Kampung Chendawan,31650,Ipoh
Kampung Kuchai,31650,Ipoh
Kampung Paloh (JD),31650,Ipoh
Kampung Pasir Puteh,31650,Ipoh
Kampung Pasir Puteh Baru,31650,Ipoh
Kampung Pasir Puteh Tambahan,31650,Ipoh
Kampung Paya,31650,Ipoh
Kampung Pinjeh,31650,Ipoh
Kampung Seri Kinta,31650,Ipoh
Kampung Seri Kramat,31650,Ipoh
Kampung Seri Murni,31650,Ipoh
Kampung Tebing Tinggi,31650,Ipoh
Kampung Temiang,31650,Ipoh
Kampung Tok Cendang,31650,Ipoh
Kampung Tok Chendang,31650,Ipoh
Kuan Woh Yuen,31650,Ipoh
Lebuhraya Boon Bak,31650,Ipoh
Lebuhraya Evergreen,31650,Ipoh
Lebuhraya Pasir Puteh,31650,Ipoh
Lebuhraya Satu,31650,Ipoh
Lebuhraya Tebing Tinggi,31650,Ipoh
Lengkok Bendahara,31650,Ipoh
Changkat Bendera,31700,Malim Nawar
Changkat Berdulang,31700,Malim Nawar
Indian Camp,31700,Malim Nawar
Indian Settlement,31700,Malim Nawar
Institut Latihan Sultan Ahmad Shah TNB,31700,Malim Nawar
Jalan Besar,31700,Malim Nawar
Jalan Pasar,31700,Malim Nawar
Jalan Stesen,31700,Malim Nawar
Jalan TNB,31700,Malim Nawar
Jelutong,31700,Malim Nawar
Kampung Amang Chee Seng,31700,Malim Nawar
Kampung Baru,31700,Malim Nawar
Kampung Baru Cina,31700,Malim Nawar
Kampung Baru Cina Tambahan,31700,Malim Nawar
Kampung Bata,31700,Malim Nawar
Kampung Batu Satu,31700,Malim Nawar
Kampung Belakang Stesen,31700,Malim Nawar
Kampung Bunga Tanjung,31700,Malim Nawar
Kampung Bunga Tanjung Baru,31700,Malim Nawar
Kampung Changkat Baru,31700,Malim Nawar
Kampung Changkat Bendera,31700,Malim Nawar
Kampung Changkat Berdulang,31700,Malim Nawar
Kampung Jelutong,31700,Malim Nawar
Kampung Jeneris,31700,Malim Nawar
Kampung Jernih,31700,Malim Nawar
Kampung Kota,31700,Malim Nawar
Kampung Krunei,31700,Malim Nawar
Kampung Kuala Kampar Tin,31700,Malim Nawar
Kampung Lanjut,31700,Malim Nawar
Kampung Malim Nawar,31700,Malim Nawar
Kampung Malim Nawar Baru,31700,Malim Nawar
Kampung Masjid,31700,Malim Nawar
Kampung Muhibbah,31700,Malim Nawar
Kampung Padang,31700,Malim Nawar
Kampung Pasir,31700,Malim Nawar
Kampung Pasir Bergading,31700,Malim Nawar
Kampung Paya Pasung Tersusun,31700,Malim Nawar
Kampung Pelekat,31700,Malim Nawar
Kampung Pulau Gading,31700,Malim Nawar
Kampung Pulau Pisang,31700,Malim Nawar
Kampung Sekolah,31700,Malim Nawar
Kampung Tanjong Bangkong,31700,Malim Nawar
Kampung Tebing Tinggi,31700,Malim Nawar
Kampung Tersusun,31700,Malim Nawar
Kampung Tualang Sekah,31700,Malim Nawar
Kampung Tualang Sekah Hilir,31700,Malim Nawar
Kampung Tualang Sekah Hulu,31700,Malim Nawar
Kampung Tualang Sekah Tengah,31700,Malim Nawar
Ladang Nam Fatt,31700,Malim Nawar
Maahad Tahfiz Tualang Sekah,31700,Malim Nawar
Malim Nawar,31700,Malim Nawar
Malim Nawar Tin,31700,Malim Nawar
Pasar Malim Nawar,31700,Malim Nawar
Pekan Baru,31700,Malim Nawar
Pekan Lama,31700,Malim Nawar
Perumahan Awam 2,31700,Malim Nawar
PPRT Tualang Sekah,31700,Malim Nawar
Rembariang,31700,Malim Nawar
Sekolah Jenis Kebangsaan Cina Ying Sing,31700,Malim Nawar
Sekolah Jenis Kebangsaan Methodist Tamil,31700,Malim Nawar
Sekolah Kebangsaan Malim Nawar,31700,Malim Nawar
Sekolah Kebangsaan Tualang Sekah,31700,Malim Nawar
Sekolah Menengah Malim Nawar,31700,Malim Nawar
Taman Bina Jaya,31700,Malim Nawar
Taman Malim Nawar,31700,Malim Nawar
Taman Sri Malim,31700,Malim Nawar
Tanjung Bangkung Tersusun,31700,Malim Nawar
TNB,31700,Malim Nawar
Tualang Sekah,31700,Malim Nawar
Bali,31750,Tronoh
Bali Emas,31750,Tronoh
Kampung Baru Bali,31750,Tronoh
Kampung Baru Nalla,31750,Tronoh
Kampung Kalapa,31750,Tronoh
Kampung Kurnia,31750,Tronoh
Kampung Melayu Bali,31750,Tronoh
Kampung Merbau,31750,Tronoh
Kampung Serkai Jadi,31750,Tronoh
Kampung Tersusun,31750,Tronoh
Taman Desa Tronoh,31750,Tronoh
Taman Jaya,31750,Tronoh
Taman Putra Jaya,31750,Tronoh
Taman Tronoh Hijau,31750,Tronoh
Taman Tronoh Jaya,31750,Tronoh
Taman Tronoh Timah,31750,Tronoh
Taman Yuen Lam,31750,Tronoh
Tronoh Mines,31750,Tronoh
Rumah Murah Fasa 2,31800,Tanjong Tualang
Rumah Murah Sg. Galah,31800,Tanjong Tualang
Rumah Murah Tanjung Tualang,31800,Tanjong Tualang
Sungai Durian,31800,Tanjong Tualang
Sungai Galah,31800,Tanjong Tualang
Taman Baru (Jalan Sungai Durian),31800,Tanjong Tualang
Taman Halaman Indah,31800,Tanjong Tualang
Taman Pinggiran Timah,31800,Tanjong Tualang
Taman Senawi,31800,Tanjong Tualang
Taman Teja,31800,Tanjong Tualang
Taman Timah Jaya,31800,Tanjong Tualang
Taman Tualang,31800,Tanjong Tualang
Tangkai Cermin,31800,Tanjong Tualang
Tanjung Tin,31800,Tanjong Tualang
Tanjung Tualang,31800,Tanjong Tualang
Tanjung Tualang (Batu 10),31800,Tanjong Tualang
Changkat Tin,31800,Tanjong Tualang
Kampar Road,31800,Tanjong Tualang
Kampung Ayer Papan,31800,Tanjong Tualang
Kampung Baru Chang Tin,31800,Tanjong Tualang
Kampung Baru Sungai Galah,31800,Tanjong Tualang
Kampung Batu 26,31800,Tanjong Tualang
Kampung Batu 31,31800,Tanjong Tualang
Kampung Benggali,31800,Tanjong Tualang
Kampung Changkat Petaling,31800,Tanjong Tualang
Kampung Changkat Sentosa,31800,Tanjong Tualang
Kampung Chenderong Kelubi,31800,Tanjong Tualang
Kampung Chenderung Kelubi,31800,Tanjong Tualang
Kampung Maamor,31800,Tanjong Tualang
Kampung Muhibbah,31800,Tanjong Tualang
Kampung Muhibbah Tambahan,31800,Tanjong Tualang
Kampung Pasir,31800,Tanjong Tualang
Kampung Sentosa,31800,Tanjong Tualang
Kampung Seri Hijrah,31800,Tanjong Tualang
Kampung Sungai Durian,31800,Tanjong Tualang
Kampung Tersusun AA Tin,31800,Tanjong Tualang
Kampung Tersusun Ayer Kuning,31800,Tanjong Tualang
Kampung Tersusun Batu 10,31800,Tanjong Tualang
Kampung Timah,31800,Tanjong Tualang
Ladang Riverview,31800,Tanjong Tualang
Malayan Tin Kampung Gajah,31800,Tanjong Tualang
Rumah Murah Fasa 1,31800,Tanjong Tualang
Jalan Baru ( Kuala Dipang ),31850,Jeram
Jeram,31850,Jeram
Jeram New Village,31850,Jeram
Kampung Baru ( Kuala Dipang ),31850,Jeram
Kampung Baru Jeram,31850,Jeram
Kampung Baru Kuala Dipang,31850,Jeram
Kampung Batu 20 (Kuala Dipang),31850,Jeram
Kampung Batu Satu,31850,Jeram
Kampung Cabang Dua (Kuala Dipang),31850,Jeram
Kampung Chabang Dua,31850,Jeram
Kampung Changkat Jering,31850,Jeram
Kampung Changkat Jering (Kuala Dipang),31850,Jeram
Kampung Empangan Perak Hydro,31850,Jeram
Kampung Jawa,31850,Jeram
Kampung Jawa Jeram,31850,Jeram
Kampung Jeram,31850,Jeram
Kampung Keboi,31850,Jeram
Kampung Kuala Dipang,31850,Jeram
Kampung Masjid ( Kuala Dipang ),31850,Jeram
Kampung Nyior ( Kuala Dipang ),31850,Jeram
Kampung Nyior (Batu 20),31850,Jeram
Kampung Pasir ( Kuala Dipang ),31850,Jeram
Kampung Pisang,31850,Jeram
"Kampung Pisang, Jeram",31850,Jeram
Kampung Pulau Gading,31850,Jeram
Kampung Pulau Pisang,31850,Jeram
Kampung Raja,31850,Jeram
Kampung Raja ( Kuala Dipang ),31850,Jeram
Kampung Sahom,31850,Jeram
Kampung Simpang Keboi,31850,Jeram
Kampung Sungai Kuboi,31850,Jeram
Kampung Tanah Pinggir (Kuala Dipang),31850,Jeram
Kampung Tanah Punggor,31850,Jeram
Kampung Tebing Tinggi,31850,Jeram
Kampung Tersusun (Batu 20 Kuala Dipang),31850,Jeram
Kampung Tersusun (Batu 20),31850,Jeram
Kampung Tersusun Batu 10,31850,Jeram
Perumahan Awam Jeram,31850,Jeram
Pulau Pisang,31850,Jeram
Sungai Siput Selatan,31850,Jeram
"Taman Harmoni,Jeram",31850,Jeram
Taman Jeram,31850,Jeram
Tebing Tinggi,31850,Jeram
Kampar - Peti Surat,31907,Kampar
Ayer Hitam Labu,31910,Kampar
Kampung Ayer Hitam Labu,31910,Kampar
Kampung Baru Tronoh Mines,31910,Kampar
Kampung Bukit Pekan,31910,Kampar
